Object ID	x-center	y-center
821	412.05	278.40
822	496.00	278.25
823	246.75	278.75
824	308.25	279.00
825	315.03	280.19
826	423.75	279.25
827	472.54	282.45
828	492.08	278.67
829	505.25	279.75
830	565.75	278.50
831	656.87	279.88
832	704.75	278.50
833	721.48	279.47
834	354.36	281.39
835	56.50	281.38
836	249.60	280.95
837	608.62	281.96
838	736.17	281.42
839	198.40	282.30
840	389.17	282.42
841	416.86	284.93
842	580.67	282.33
843	604.75	281.50
844	757.08	282.33
845	790.24	286.05
846	480.50	280.75
847	521.67	283.08
848	563.50	283.00
849	656.15	283.30
850	664.75	282.50
851	300.75	283.50
852	311.66	286.52
853	361.08	284.81
854	397.11	284.75
855	451.39	285.29
856	598.90	285.50
857	715.75	285.25
858	100.50	286.50
859	183.50	286.50
860	200.66	286.95
861	463.61	286.93
862	570.15	286.75
863	165.30	287.50
864	285.00	287.00
865	530.75	287.00
866	644.50	287.25
867	487.60	287.95
868	523.42	288.42
869	608.75	287.50
870	665.25	287.75
871	74.00	289.94
872	215.40	289.16
873	506.00	289.25
874	438.67	290.33
875	670.50	290.50
876	673.75	289.50
877	716.92	290.08
878	140.50	291.50
879	356.00	290.75
880	430.60	291.30
881	442.47	292.83
882	473.78	292.77
883	551.50	291.38
884	586.83	290.67
885	596.25	291.38
886	273.81	292.81
887	297.17	292.42
888	330.67	292.98
889	605.40	295.29
890	660.50	293.00
891	163.50	294.50
892	587.75	293.50
893	687.60	293.95
894	755.02	295.13
895	68.90	296.10
896	138.33	294.67
897	386.81	295.38
898	452.60	294.95
899	507.33	295.67
900	551.50	294.50
901	232.56	296.44
902	484.50	296.00
903	611.75	296.50
904	623.00	295.50
905	694.65	297.05
906	359.50	297.25
907	650.75	296.50
908	327.25	298.00
909	384.50	298.50
910	573.25	297.62
911	587.83	298.17
912	135.89	299.50
913	545.67	299.33
914	733.60	298.95
915	674.67	301.42
916	694.67	301.33
917	779.25	301.85
918	172.75	301.75
919	239.35	302.35
920	508.92	302.67
921	523.25	302.75
922	585.50	302.00
923	667.82	302.80
924	114.82	303.11
925	296.33	303.19
926	601.50	302.62
927	650.50	303.00
928	660.30	303.85
929	785.58	303.92
930	547.25	304.36
931	563.75	303.50
932	612.83	303.67
933	725.75	304.25
934	96.33	305.08
935	442.50	305.38
936	463.25	305.00
937	577.54	306.88
938	529.65	307.11
939	711.50	305.50
940	742.67	306.33
941	400.89	307.50
942	472.96	308.52
943	483.27	307.73
944	542.40	307.30
