Object_ID	x-center	y-center	aperture_radius	mag_F336W	mag_F555W	color
2317	611.67	682.58	5.0	18.959	20.313	-1.355
2318	767.88	682.50	5.0	20.007	21.406	-1.398
2319	433.60	682.70	5.0	19.463	20.678	-1.215
2320	532.83	682.67	5.0	19.209	20.734	-1.524
2321	534.25	682.50	5.0	19.206	20.733	-1.526
2322	292.50	683.50	5.0	18.957	20.208	-1.251
2323	341.52	685.18	5.0	17.136	17.761	-0.625
2324	560.75	684.25	5.0	19.438	21.069	-1.630
2325	684.25	685.50	5.0	18.909	20.190	-1.281
2326	153.50	685.50	5.0	20.177	21.313	-1.135
2327	234.25	685.75	5.0	19.568	20.733	-1.165
2328	258.80	686.15	5.0	19.034	20.094	-1.060
2329	290.50	685.50	5.0	19.033	20.283	-1.250
2330	395.67	686.33	5.0	19.918	20.812	-0.894
2331	417.94	686.12	5.0	18.737	19.812	-1.075
2332	291.50	686.00	5.0	19.038	20.275	-1.237
2333	444.77	688.32	5.0	18.148	19.837	-1.690
2334	739.06	687.81	5.0	18.222	19.393	-1.171
2335	795.67	686.67	5.0	18.831	20.357	-1.526
2336	235.00	686.50	5.0	19.595	20.716	-1.120
2337	449.92	688.15	5.0	18.080	19.323	-1.243
2338	509.75	687.50	5.0	19.400	20.610	-1.210
2339	367.55	690.68	5.0	18.274	19.608	-1.333
2340	795.50	688.00	5.0	18.660	20.284	-1.624
2341	322.75	691.00	5.0	18.510	19.818	-1.308
2342	555.29	690.86	5.0	18.673	20.274	-1.601
2343	107.44	692.88	5.0	18.380	19.892	-1.511
2344	284.40	692.05	5.0	19.483	20.667	-1.184
2345	222.67	693.58	5.0	18.794	19.617	-0.823
2346	273.25	692.50	5.0	20.796	21.271	-0.475
2347	320.67	693.81	5.0	18.452	19.722	-1.270
2348	348.94	693.14	5.0	19.088	20.654	-1.566
2349	524.67	695.20	5.0	17.703	18.646	-0.943
2350	560.81	695.08	5.0	18.520	19.799	-1.278
2351	596.28	695.02	5.0	18.246	19.142	-0.896
2352	760.75	693.50	5.0	20.699	21.329	-0.631
2353	450.03	698.91	5.0	16.807	18.247	-1.440
2354	465.11	695.50	5.0	19.066	20.291	-1.226
2355	422.07	699.28	5.0	15.845	16.833	-0.988
2356	507.78	696.73	5.0	18.051	19.289	-1.238
2357	537.77	696.14	5.0	18.293	19.767	-1.474
2358	753.40	696.27	5.0	19.020	20.383	-1.363
2359	788.33	696.81	5.0	18.907	19.973	-1.065
2360	132.40	697.10	5.0	18.383	20.021	-1.638
2361	305.25	697.11	5.0	18.849	19.833	-0.984
2362	95.67	698.81	5.0	19.233	20.467	-1.234
2363	704.48	698.33	5.0	19.284	20.506	-1.222
2364	177.33	699.42	5.0	18.299	19.633	-1.334
2365	384.00	699.50	5.0	19.511	20.690	-1.179
2366	139.75	699.75	5.0	19.149	21.062	-1.912
2367	393.64	699.94	5.0	18.551	20.244	-1.693
2368	537.67	700.33	5.0	18.439	19.689	-1.251
2369	347.85	703.49	5.0	15.868	15.780	0.088
2370	621.75	702.38	5.0	18.184	19.792	-1.609
2371	371.00	703.25	5.0	18.920	19.979	-1.059
2372	398.33	702.92	5.0	18.289	19.635	-1.346
2373	687.25	703.00	5.0	16.885	18.347	-1.462
