ID	x	y	ap_radius	mag_F336W	mag_F555W	color
450	94.50	208.50	5.0	19.021	20.031	-1.010
451	188.27	209.38	5.0	17.969	18.295	-0.326
452	707.38	210.48	5.0	18.042	18.474	-0.432
453	67.43	211.43	5.0	17.863	18.596	-0.733
454	558.04	214.90	5.0	17.007	17.532	-0.525
455	570.90	209.12	5.0	19.642	20.892	-1.250
456	747.29	211.59	5.0	19.065	19.369	-0.305
457	368.15	210.05	5.0	21.674	20.558	1.116
458	84.65	212.86	5.0	18.038	18.837	-0.799
459	157.08	211.08	5.0	21.367	20.517	0.850
460	515.18	210.80	5.0	20.752	19.924	0.828
461	669.95	211.96	5.0	19.966	19.710	0.256
462	206.40	212.88	5.0	18.849	19.599	-0.751
463	276.10	213.75	5.0	18.621	18.950	-0.329
464	633.32	213.49	5.0	18.946	19.370	-0.424
465	238.83	214.03	5.0	18.366	18.797	-0.431
466	726.29	216.75	5.0	17.329	17.948	-0.620
467	158.60	214.54	5.0	19.829	20.004	-0.175
468	347.67	215.13	5.0	19.081	19.200	-0.119
469	568.93	215.72	5.0	18.941	19.118	-0.177
470	683.91	216.31	5.0	18.511	18.778	-0.267
471	270.08	215.50	5.0	19.059	19.705	-0.647
472	310.97	216.58	5.0	17.865	18.302	-0.437
473	445.27	214.63	5.0	20.054	20.015	0.039
474	646.26	216.01	5.0	18.101	18.401	-0.300
475	758.10	216.24	5.0	20.436	19.875	0.562
476	294.74	217.72	5.0	18.341	18.795	-0.455
477	497.31	218.49	5.0	18.612	19.059	-0.447
478	698.76	217.98	5.0	20.177	22.711	-2.533
479	706.67	216.67	5.0	19.942	19.169	0.773
480	149.13	219.95	5.0	18.047	18.440	-0.393
481	247.75	218.00	5.0	19.592	20.223	-0.631
482	439.83	219.94	5.0	17.984	18.697	-0.713
483	577.24	218.56	5.0	19.575	20.914	-1.339
484	325.03	218.93	5.0	18.194	18.500	-0.306
485	159.59	221.87	5.0	18.537	19.015	-0.477
486	490.79	223.05	5.0	17.687	18.340	-0.653
487	693.62	222.22	5.0	18.827	19.197	-0.370
488	719.03	222.74	5.0	18.389	18.805	-0.416
489	209.12	222.41	5.0	20.862	20.427	0.435
490	233.60	222.20	5.0	21.912	23.914	-2.002
491	246.57	222.90	5.0	19.897	19.730	0.167
492	504.49	223.24	5.0	18.617	19.045	-0.427
493	536.31	222.06	5.0	20.223	19.826	0.398
494	118.08	222.92	5.0	19.111	20.584	-1.473
495	224.21	223.74	5.0	19.553	19.941	-0.388
496	643.38	223.74	5.0	20.042	19.711	0.331
497	685.91	224.94	5.0	17.646	18.057	-0.411
498	110.25	224.35	5.0	19.171	19.914	-0.743
499	281.94	224.62	5.0	20.427	20.068	0.359
500	446.29	224.12	5.0	19.665	20.282	-0.617
501	453.25	225.33	5.0	20.726	22.519	-1.793
502	571.27	227.10	5.0	16.951	17.629	-0.678
503	581.50	224.17	5.0	18.695	19.919	-1.224
504	125.51	226.18	5.0	18.041	19.060	-1.020
505	324.14	226.18	5.0	18.367	18.764	-0.396
506	190.24	230.34	5.0	15.734	15.485	0.250
507	746.44	228.06	5.0	19.101	19.385	-0.284
508	167.33	227.84	5.0	20.492	20.188	0.303
509	350.29	228.47	5.0	18.163	18.610	-0.447
510	585.09	230.72	5.0	16.991	17.262	-0.271
511	229.58	228.92	5.0	20.448	20.200	0.248
512	468.73	231.27	5.0	17.611	17.912	-0.301
513	480.78	233.05	5.0	15.000	16.114	-1.114
514	720.04	231.16	5.0	18.378	18.745	-0.367
515	236.86	232.03	5.0	17.486	17.872	-0.386
516	341.12	229.38	5.0	19.761	19.846	-0.085
517	308.06	230.69	5.0	18.293	18.850	-0.557
518	502.42	230.17	5.0	19.867	19.755	0.112
519	673.19	231.62	5.0	18.694	19.016	-0.321
520	128.36	231.11	5.0	19.296	18.981	0.315
521	374.40	231.55	5.0	19.252	19.726	-0.475
522	758.72	232.60	5.0	17.951	18.410	-0.459
523	157.36	233.93	5.0	19.650	20.027	-0.377
