ID	x	y
846	745.27	316.22
847	759.50	315.25
848	230.38	318.04
849	382.14	317.08
850	469.68	316.89
851	688.38	327.41
852	76.69	320.09
853	510.69	320.17
854	774.60	319.08
855	163.12	320.50
856	201.39	321.08
857	251.85	319.95
858	389.43	320.36
859	71.12	323.25
860	343.05	321.40
861	403.88	321.97
862	534.33	321.09
863	627.08	321.50
864	149.47	323.32
865	207.09	325.98
866	222.31	322.83
867	264.13	324.75
868	470.06	322.56
869	731.54	323.46
870	59.81	324.63
871	211.95	324.85
872	233.75	324.00
873	417.97	324.36
874	425.64	326.16
875	722.92	327.02
876	111.46	326.33
877	400.97	325.23
878	488.37	326.04
879	272.05	326.15
880	516.25	326.50
881	87.10	328.69
882	100.70	327.50
883	237.34	327.94
884	247.56	328.38
885	524.76	328.46
886	739.19	327.31
887	387.90	329.25
888	446.65	330.54
889	540.90	329.74
890	141.88	329.52
891	189.64	330.70
892	532.83	328.94
893	764.08	329.29
894	157.58	330.25
895	613.92	330.97
896	662.88	330.92
897	754.85	331.23
898	147.40	331.81
899	472.16	332.36
900	162.52	334.05
901	748.48	333.60
902	114.55	334.51
903	298.56	340.24
904	531.35	334.51
905	707.82	333.03
906	721.88	335.25
907	335.83	333.83
908	454.63	335.22
909	602.88	332.82
910	143.22	336.83
911	273.08	338.54
912	280.38	337.51
913	420.67	336.52
914	546.33	335.92
915	365.22	337.76
916	552.94	338.85
917	266.42	338.74
918	457.25	338.00
919	479.38	344.21
920	716.29	339.64
921	442.17	340.28
922	671.44	338.33
923	537.88	340.60
924	622.11	341.56
925	603.63	342.68
926	225.83	341.47
927	532.32	343.02
928	150.02	343.60
929	456.96	345.67
930	788.95	351.79
931	73.85	344.95
932	190.23	348.52
933	199.96	347.00
934	598.79	345.23
935	657.95	346.01
936	780.85	346.62
937	128.94	347.56
938	650.16	346.44
939	65.88	348.62
940	248.50	347.55
941	375.93	348.18
942	383.30	351.59
943	468.06	347.52
944	515.15	348.10
945	665.28	349.54
946	711.00	353.87
947	254.52	349.86
948	396.15	349.69
949	683.38	353.60
950	771.14	355.68
951	235.00	351.30
952	533.24	352.41
953	81.10	351.84
954	319.41	351.59
955	162.58	354.49
956	241.70	353.50
957	511.39	353.55
958	135.12	355.90
959	186.78	353.51
960	796.84	354.34
961	113.61	356.10
962	210.35	354.24
963	543.39	355.61
964	391.54	356.20
965	658.96	357.93
966	754.25	355.00
967	336.41	357.08
968	610.36	356.16
969	171.40	358.19
970	313.52	360.99
971	490.75	357.92
972	703.29	357.18
973	329.97	359.31
974	395.08	358.08
975	197.36	362.24
976	689.65	359.05
977	535.84	360.33
978	476.71	361.24
979	520.14	361.59
980	228.86	362.23
981	303.50	364.27
982	681.33	364.91
983	725.20	361.73
984	323.93	363.82
985	466.35	363.65
986	733.98	363.73
987	142.73	364.41
988	396.42	363.92
989	500.11	363.86
990	284.89	366.68
991	333.33	365.67
992	669.09	365.81
993	710.50	365.25
994	790.08	365.21
995	124.76	367.57
996	230.64	369.25
997	729.13	367.62
998	783.00	366.00
999	75.92	369.76
1000	177.94	371.06
1001	296.45	368.10
1002	360.98	368.30
1003	380.97	369.68
1004	695.41	371.02
1005	719.83	368.08
1006	205.08	369.33
1007	369.19	371.54
1008	404.50	372.02
1009	796.20	369.98
1010	249.96	371.02
1011	414.29	371.50
1012	528.47	376.70
1013	387.83	372.85
1014	436.10	372.55
1015	751.31	374.38
1016	195.17	375.17
1017	476.10	378.16
1018	112.04	376.67
1019	159.04	375.68
1020	75.62	378.75
1021	125.31	376.16
1022	171.88	377.22
1023	202.65	376.58
1024	345.48	378.72
1025	496.74	382.18
1026	227.39	378.32
1027	240.55	377.73
1028	338.13	377.07
1029	510.86	377.34
1030	155.38	378.42
1031	555.69	377.81
1032	150.60	379.05
1033	375.19	378.82
1034	397.20	380.96
1035	682.12	379.52
1036	692.55	379.10
1037	710.88	387.27
1038	279.49	381.65
1039	675.03	380.93
1040	68.76	383.53
1041	166.26	382.99
1042	369.62	383.28
1043	508.97	384.57
1044	633.42	385.71
1045	153.17	386.61
1046	214.21	386.07
1047	233.17	385.08
1048	797.37	386.67
1049	169.64	386.40
1050	206.94	386.61
1051	239.20	386.88
1052	472.43	385.82
1053	781.45	387.08
1054	254.98	387.87
1055	364.21	388.41
1056	328.94	389.35
1057	357.01	388.54
1058	535.58	387.83
1059	85.00	388.72
1060	270.98	392.89
1061	371.48	394.69
1062	398.41	394.57
1063	420.60	389.41
1064	440.48	395.77
1065	701.88	389.38
1066	732.86	389.54
1067	775.43	392.82
1068	184.34	391.00
1069	306.97	390.80
1070	384.04	391.14
1071	740.11	391.55
1072	73.19	392.92
1073	258.69	391.61
1074	52.45	393.63
1075	687.99	393.52
1076	160.19	393.75
1077	126.72	394.70
1078	343.50	394.40
1079	457.83	394.17
1080	572.36	395.46
1081	350.11	396.83
1082	583.87	395.14
1083	117.74	396.51
1084	232.47	397.69
1085	489.73	396.27
1086	704.03	396.61
1087	723.94	400.82
1088	78.66	397.77
1089	389.33	397.58
1090	679.07	397.18
1091	736.92	402.13
1092	132.82	399.79
1093	264.56	398.60
1094	332.21	398.21
1095	238.78	400.18
1096	756.06	399.34
1097	114.05	400.05
1098	748.34	402.28
1099	788.93	400.79
1100	194.57	401.36
1101	338.26	401.84
1102	471.69	402.25
1103	578.72	403.60
1104	201.67	402.43
1105	310.63	403.38
1106	348.19	403.44
1107	797.88	402.60
1108	58.09	405.26
1109	122.71	403.83
1110	128.96	405.20
1111	150.07	405.40
1112	211.02	404.56
1113	268.69	404.55
1114	278.46	403.66
1115	357.47	404.69
1116	384.66	402.74
1117	509.89	402.91
1118	600.03	404.47
1119	674.68	404.39
1120	448.43	404.51
1121	708.82	404.55
1122	70.61	405.73
1123	176.90	406.65
1124	199.92	405.92
1125	305.36	406.14
1126	226.86	407.74
1127	82.42	409.09
1128	442.43	409.14
1129	478.23	414.86
1130	94.80	410.58
1131	188.22	410.29
1132	344.83	408.93
1133	493.18	410.46
1134	796.98	411.63
1135	286.00	410.00
1136	127.48	411.65
1137	252.06	414.04
1138	310.43	412.50
1139	718.47	412.28
1140	512.76	413.24
1141	555.27	413.17
1142	699.83	412.81
1143	706.03	411.37
1144	345.17	413.48
1145	357.82	413.73
1146	222.12	413.83
1147	234.98	414.59
1148	387.20	415.18
1149	573.52	414.93
1150	672.12	414.31
1151	712.98	414.07
1152	758.86	416.27
1153	57.92	417.19
1154	378.68	415.76
1155	548.98	421.94
1156	683.38	418.20
1157	734.03	415.98
1158	777.99	416.02
1159	785.04	415.57
1160	68.31	417.67
1161	189.02	416.21
1162	317.04	416.74
1163	664.38	416.88
1164	329.55	418.88
1165	356.60	418.32
1166	432.57	417.30
1167	443.00	418.13
1168	792.15	417.88
1169	177.18	420.04
1170	282.04	420.12
1171	507.27	420.50
1172	157.00	420.00
1173	423.63	421.38
1174	595.26	420.74
1175	232.27	422.48
1176	382.74	421.37
1177	347.18	422.68
1178	495.92	421.75
1179	514.87	422.58
1180	588.07	421.57
1181	738.79	429.97
1182	216.70	424.22
1183	788.92	425.76
1184	248.85	424.95
1185	364.40	424.41
1186	373.62	426.04
1187	482.75	425.15
1188	776.06	429.04
1189	185.85	426.45
